"fecha","BONOS","IGBVL","TC","TIR","Premio_riesgo"
2011-12-21,5.7028125,19360.66,2.69471428571429,4.25,19360.602971875
2011-12-22,5.72,19383.07,2.69414285714286,4.25,19383.0128
2011-12-26,5.769,19458.87,2.69442857142857,4.25,19458.81231
2011-12-27,5.72071428571429,19398.51,2.69514285714286,4.25,19398.4527928571
2011-12-28,5.72,19268.55,2.69628571428571,4.25,19268.4928
2011-12-29,5.73537142857143,19385.19,2.69714285714286,4.25,19385.1326462857
2012-01-02,5.71153846153846,19579.41,2.698,4.25,19579.3528846154
2012-01-03,5.67436363636364,19886.89,2.69557142857143,4.25,19886.8332563636
2012-01-04,5.69,19940.09,2.69628571428571,4.25,19940.0331
2012-01-05,5.65665151515152,19943.99,2.69471428571429,4.25,19943.9334334848
2012-01-06,5.65139534883721,19800.88,2.69342857142857,4.25,19800.8234860465
2012-01-09,5.66208333333334,19947.48,2.69314285714286,4.25,19947.4233791667
2012-01-10,5.65064516129032,20269.16,2.69214285714286,4.25,20269.1034935484
2012-01-11,5.68313953488372,20280.64,2.69328571428571,4.25,20280.5831686047
2012-01-12,5.69881355932203,20539.69,2.69214285714286,4.25,20539.6330118644
2012-01-13,5.73042553191489,20472,2.69442857142857,4.25,20471.9426957447
2012-01-16,5.72388888888889,20592.42,2.69428571428571,4.25,20592.3627611111
2012-01-17,5.72404333333333,20712.92,2.69214285714286,4.25,20712.8627595667
2012-01-18,5.72045454545454,20868.23,2.693,4.25,20868.1727954545
2012-01-19,5.70010909090909,21006.51,2.69271428571429,4.25,21006.4529989091
2012-01-20,5.69166666666667,20887.84,2.69271428571429,4.25,20887.7830833333
2012-01-23,5.68547083333333,21206.06,2.69157142857143,4.25,21206.0031452917
2012-01-24,5.68,21277.53,2.69228571428571,4.25,21277.4732
2012-01-25,5.73790697674419,21410.67,2.69357142857143,4.25,21410.6126209302
2012-01-26,5.68631904761905,21645.82,2.69128571428571,4.25,21645.7631368095
2012-01-27,5.65588235294118,21843.63,2.69042857142857,4.25,21843.5734411765
2012-01-30,5.66714285714286,21852.1,2.69042857142857,4.25,21852.0433285714
2012-01-31,5.6488,21948.07,2.69,4.25,21948.013512
2012-02-01,5.62,22371.22,2.68914285714286,4.25,22371.1638
2012-02-02,5.6,22686.68,2.68957142857143,4.25,22686.624
2012-02-03,5.58245714285714,22918.62,2.68971428571429,4.25,22918.5641754286
2012-02-06,5.61520000000001,22906.38,2.68857142857143,4.25,22906.323848
2012-02-07,5.65031645569619,22803.81,2.68828571428571,4.25,22803.7534968354
2012-02-08,5.62235294117647,22730.7,2.688,4.25,22730.6437764706
2012-02-09,5.598,22697.16,2.68771428571429,4.25,22697.10402
2012-02-10,5.57053124999999,22508.29,2.68514285714286,4.25,22508.2342946875
2012-02-15,5.56666666666667,22276.71,2.685,4.25,22276.6543333333
2012-02-16,5.56623376623376,22360.79,2.68357142857143,4.25,22360.7343376623
2012-02-17,5.54347826086957,22456.8,2.68185714285714,4.25,22456.7445652174
2012-02-20,5.52872340425532,22604.62,2.681,4.25,22604.564712766
2012-02-21,5.53296296296296,22873.38,2.68014285714286,4.25,22873.3246703704
2012-02-22,5.50999999999999,22870.86,2.68042857142857,4.25,22870.8049
2012-02-23,5.51,22835.83,2.68,4.25,22835.7749
2012-02-24,5.47584186046512,22825.87,2.67928571428571,4.25,22825.8152415814
2012-02-27,5.4692,22729.93,2.67871428571429,4.25,22729.875308
2012-02-28,5.471,22900.81,2.678,4.25,22900.75529
2012-02-29,5.43809523809524,22728.75,2.67685714285714,4.25,22728.6956190476
2012-03-01,5.44947368421053,22982.85,2.675,4.25,22982.7955052632
2012-03-02,5.4441935483871,23163.87,2.67585714285714,4.25,23163.8155580645
2012-03-05,5.43941176470588,22967.3,2.675,4.25,22967.2456058824
2012-03-06,5.42673913043478,22664.72,2.67571428571429,4.25,22664.6657326087
2012-03-07,5.44929156626505,22839.18,2.67442857142857,4.25,22839.1255070843
2012-03-08,5.45518518518519,23033.26,2.67171428571429,4.25,23033.2054481481
2012-03-09,5.386,23232.5,2.66971428571429,4.25,23232.44614
2012-03-12,5.33363636363636,22997.66,2.66885714285714,4.25,22997.6066636364
2012-03-13,5.32382352941176,23145.52,2.66985714285714,4.25,23145.4667617647
2012-03-14,5.37943191489362,23015.47,2.67028571428571,4.25,23015.4162056809
2012-03-15,5.39810810810811,22974.79,2.67257142857143,4.25,22974.7360189189
2012-03-16,5.38611515151515,22962.52,2.671,4.25,22962.4661388485
2012-03-19,5.364,23079.77,2.671,4.25,23079.71636
2012-03-20,5.3875,22935.7,2.67171428571429,4.25,22935.646125
2012-03-21,5.37173913043478,23056.42,2.67171428571429,4.25,23056.3662826087
2012-03-22,5.39469387755102,22772.6,2.67,4.25,22772.5460530612
